"Month","Category Group/Category","Category Group","Category","Assigned","Activity","Available"
"Jan 2026","Credit Card Payments: Amex Gold (Due 20th)","Credit Card Payments","Amex Gold (Due 20th)",$755.49,-$567.44,$188.05
"Jan 2026","Credit Card Payments: Credit Card – 8072","Credit Card Payments","Credit Card – 8072",$117.00,-$32.92,$84.08
"Jan 2026","Credit Card Payments: Savor – 7573","Credit Card Payments","Savor – 7573",$52.17,$34.94,$87.11
"Jan 2026","Credit Card Payments: Wells Fargo Autograph Visa�� Card – 5212","Credit Card Payments","Wells Fargo Autograph Visa�� Card – 5212",$0.00,$0.00,$0.00
"Jan 2026","Bills: Electricity","Bills","Electricity",$0.00,-$49.95,-$49.95
"Jan 2026","Bills: Public Transit","Bills","Public Transit",$75.00,-$75.00,$0.00
"Jan 2026","Bills: 🏠 Rent","Bills","🏠 Rent",$2504.00,-$2504.00,$0.00
"Jan 2026","Bills: 📄 Renter's insurance - Savings Bucket","Bills","📄 Renter's insurance - Savings Bucket",$0.00,$0.00,$0.00
"Jan 2026","Bills: 🎓 Student loans","Bills","🎓 Student loans",$253.22,-$253.22,$0.00
"Jan 2026","Subscriptions: Costco","Subscriptions","Costco",$0.00,$0.00,$0.00
"Jan 2026","Subscriptions: Prime","Subscriptions","Prime",$41.42,-$59.96,-$18.54
"Jan 2026","Subscriptions: Spotify","Subscriptions","Spotify",$13.08,-$13.08,$0.00
"Jan 2026","Subscriptions: Amex Gold","Subscriptions","Amex Gold",$0.00,$0.00,$0.00
"Jan 2026","Subscriptions: Google Subscription","Subscriptions","Google Subscription",$0.00,-$1.99,-$1.99
"Jan 2026","Subscriptions: YNAB","Subscriptions","YNAB",$0.00,-$14.99,-$14.99
"Jan 2026","Monthly Living / Lifestyle: Needs Bucket","Monthly Living / Lifestyle","Needs Bucket",$0.00,$0.00,$0.00
"Jan 2026","Monthly Living / Lifestyle: Home Buys","Monthly Living / Lifestyle","Home Buys",$130.16,-$306.55,-$176.39
"Jan 2026","Monthly Living / Lifestyle: Interest","Monthly Living / Lifestyle","Interest",$0.00,$0.00,$0.00
"Jan 2026","Monthly Living / Lifestyle: Unexpected Expenses","Monthly Living / Lifestyle","Unexpected Expenses",$111.08,-$155.90,-$44.82
"Jan 2026","Monthly Living / Lifestyle: Amazon / Random Online Buys","Monthly Living / Lifestyle","Amazon / Random Online Buys",$0.00,$0.00,$0.00
"Jan 2026","Monthly Living / Lifestyle: Self Care & General Health","Monthly Living / Lifestyle","Self Care & General Health",$40.00,-$178.54,-$138.54
"Jan 2026","Monthly Living / Lifestyle: Haircut","Monthly Living / Lifestyle","Haircut",$0.00,$0.00,$0.00
"Jan 2026","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries",$438.65,-$660.20,-$221.55
"Jan 2026","Fun Spending: Fun Bucket Week 4","Fun Spending","Fun Bucket Week 4",$0.00,$0.00,$0.00
"Jan 2026","Fun Spending: Fun Bucket Week 3","Fun Spending","Fun Bucket Week 3",$0.00,$0.00,$0.00
"Jan 2026","Fun Spending: Fun Bucket Week 2","Fun Spending","Fun Bucket Week 2",$0.00,$0.00,$0.00
"Jan 2026","Fun Spending: Fun Bucket Week 1","Fun Spending","Fun Bucket Week 1",$0.00,$0.00,$0.00
"Jan 2026","Fun Spending: Charity","Fun Spending","Charity",$54.00,-$74.00,-$20.00
"Jan 2026","Fun Spending: Amex Credit","Fun Spending","Amex Credit",$0.00,$0.00,$0.00
"Jan 2026","Fun Spending: New PC Parts!","Fun Spending","New PC Parts!",$0.00,$0.00,$0.00
"Jan 2026","Fun Spending: Fun Transport","Fun Spending","Fun Transport",$74.64,-$96.55,-$21.91
"Jan 2026","Fun Spending: Holidays","Fun Spending","Holidays",$0.00,$0.00,$0.00
"Jan 2026","Fun Spending: At-Home Alcohol","Fun Spending","At-Home Alcohol",$46.47,-$46.47,$0.00
"Jan 2026","Fun Spending: Fun Clothing","Fun Spending","Fun Clothing",$15.16,-$15.16,$0.00
"Jan 2026","Fun Spending: General Entertainment","Fun Spending","General Entertainment",$95.65,-$248.65,-$153.00
"Jan 2026","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout",$360.06,-$741.97,-$381.91
"Jan 2026","Fun Spending: Bars","Fun Spending","Bars",$829.45,-$1339.04,-$509.59
"Jan 2026","Wealth Building: Roth IRA","Wealth Building","Roth IRA",$0.00,$0.00,$0.00
"Jan 2026","Wealth Building: Holdover ","Wealth Building","Holdover ",$0.00,$0.00,$0.00
"Jan 2026","Wealth Building: 😌 Emergency Fund","Wealth Building","😌 Emergency Fund",$0.00,$0.00,$0.00
"Jan 2026","Wealth Building: Travel","Wealth Building","Travel",$0.00,$0.00,$0.00
"Jan 2026","Short-Term Savings: Move in July","Short-Term Savings","Move in July",$0.00,$0.00,$0.00
"Jan 2026","Short-Term Savings: General Liquidity","Short-Term Savings","General Liquidity",$0.00,$0.00,$0.00
"Jan 2026","Short-Term Savings: Tax Refund","Short-Term Savings","Tax Refund",$0.00,$0.00,$0.00
"Jan 2026","Short-Term Savings: Debt Repayment Savings","Short-Term Savings","Debt Repayment Savings",$0.00,$0.00,$0.00
"Jan 2026","Short-Term Savings: Christmas ","Short-Term Savings","Christmas ",$0.00,$0.00,$0.00
"Jan 2026","Short-Term Savings: Small Trips","Short-Term Savings","Small Trips",$0.00,$0.00,$0.00
"Jan 2026","Short-Term Savings: Vacation Fund / Big Trips","Short-Term Savings","Vacation Fund / Big Trips",$0.00,$0.00,$0.00
"Jan 2026","Irregular Expenses: Interest","Irregular Expenses","Interest",$282.96,-$322.39,-$39.43
"Jan 2026","Irregular Expenses: Phoenix Move Out Expenses (Rental + Flight + Extra)","Irregular Expenses","Phoenix Move Out Expenses (Rental + Flight + Extra)",$0.00,$0.00,$0.00
"Jan 2026","Irregular Expenses: Move In Fees","Irregular Expenses","Move In Fees",$0.00,$0.00,$0.00
"Jan 2026","Irregular Expenses: Macbook","Irregular Expenses","Macbook",$0.00,$0.00,$0.00
"Jan 2026","Irregular Expenses: Dad Reimbursement","Irregular Expenses","Dad Reimbursement",$0.00,$0.00,$0.00
"Jan 2026","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements",$0.00,$0.00,$0.00
"Jan 2026","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates",$0.00,-$231.54,-$231.54
"Jan 2026","Irregular Expenses: Medical","Irregular Expenses","Medical",$0.00,$0.00,$0.00
"Jan 2026","Hidden Categories: Delta SkyMiles® Platinum Card - Delta SkyMiles® Platinum Card","Hidden Categories","Delta SkyMiles® Platinum Card - Delta SkyMiles® Platinum Card",$0.00,$0.00,$0.00
"Jan 2026","Hidden Categories: Bilt (Due 14th)","Hidden Categories","Bilt (Due 14th)",$105.07,$36.15,$141.22
"Jan 2026","Hidden Categories: Chase Card (Due 16th)","Hidden Categories","Chase Card (Due 16th)",$0.00,$0.00,$0.00
"Jan 2026","Hidden Categories: Chase Freedom Unlimited","Hidden Categories","Chase Freedom Unlimited",$0.00,$0.00,$0.00
"Feb 2026","Credit Card Payments: Amex Gold (Due 20th)","Credit Card Payments","Amex Gold (Due 20th)",$3665.95,-$3411.63,$442.37
"Feb 2026","Credit Card Payments: Credit Card – 8072","Credit Card Payments","Credit Card – 8072",$983.96,-$1048.08,$19.96
"Feb 2026","Credit Card Payments: Savor – 7573","Credit Card Payments","Savor – 7573",$41.94,-$92.27,$36.78
"Feb 2026","Credit Card Payments: Wells Fargo Autograph Visa�� Card – 5212","Credit Card Payments","Wells Fargo Autograph Visa�� Card – 5212",$433.12,-$433.12,$0.00
