"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"CHASE SECURE BANKING","","07/29/2026","Paycheck",": Ready to Assign","","Ready to Assign","","$0.00","$1,883.14","Uncleared"
"CHASE SECURE BANKING","","07/25/2026","Costco Couch Refund",": Ready to Assign","","Ready to Assign","","$0.00","$949.99","Uncleared"
"CHASE SECURE BANKING","","07/22/2026","Reconciliation Adjustment","Reconciliation (Hidden): Reconciliation (Hidden)","Reconciliation (Hidden)","Reconciliation (Hidden)","","$2,151.91","$0.00","Uncleared"
"WELLS FARGO AUTOGRAPH VISA® CARD","","07/22/2026","Reconciliation Adjustment","Reconciliation (Hidden): Reconciliation (Hidden)","Reconciliation (Hidden)","Reconciliation (Hidden)","","$115.41","$0.00","Uncleared"
"Savor","","07/22/2026","Reconciliation Adjustment","Reconciliation (Hidden): Reconciliation (Hidden)","Reconciliation (Hidden)","Reconciliation (Hidden)","","$107.78","$0.00","Uncleared"
"American Express Gold Card","","07/22/2026","Reconciliation Adjustment","Reconciliation (Hidden): Reconciliation (Hidden)","Reconciliation (Hidden)","Reconciliation (Hidden)","","$0.00","$689.82","Uncleared"
"Freedom Unlimited","","07/22/2026","Reconciliation Adjustment","Reconciliation (Hidden): Reconciliation (Hidden)","Reconciliation (Hidden)","Reconciliation (Hidden)","","$74.27","$0.00","Uncleared"
"Savor","","07/21/2026","Interest Charge","Monthly Living / Lifestyle: Interest","Monthly Living / Lifestyle","Interest","","$102.20","$0.00","Cleared"
"CHASE SECURE BANKING","","07/20/2026","Anthropic.com","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$23.00","$0.00","Cleared"
"CHASE SECURE BANKING","","07/20/2026","Gangnam Market Em","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$11.96","$0.00","Cleared"
"CHASE SECURE BANKING","","07/20/2026","Indian Tadka Tr via Otter","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$23.14","$0.00","Cleared"
"CHASE SECURE BANKING","","07/20/2026","The Dandy Crown","Fun Spending: Bars","Fun Spending","Bars","","$20.11","$0.00","Cleared"
"CHASE SECURE BANKING","","07/20/2026","Ventra","Bills: Public Transit","Bills","Public Transit","","$5.00","$0.00","Cleared"
"CHASE SECURE BANKING","","07/20/2026","Klarna","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$39.96","$0.00","Cleared"
"CHASE SECURE BANKING","","07/20/2026","The Aberdeen Tap","Irregular Expenses: Gifts + Dates","Irregular Expenses","Gifts + Dates","","$76.69","$0.00","Cleared"
"American Express Gold Card","","07/20/2026","Amazon","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$47.99","$0.00","Cleared"
"CHASE SECURE BANKING","","07/20/2026","Uber","Fun Spending: Fun Transport","Fun Spending","Fun Transport","","$2.00","$0.00","Cleared"
"WELLS FARGO AUTOGRAPH VISA® CARD","","07/20/2026","Interest Charge","Monthly Living / Lifestyle: Interest","Monthly Living / Lifestyle","Interest","","$120.70","$0.00","Cleared"
"CHASE SECURE BANKING","","07/20/2026","Cleo","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$0.00","$170.00","Cleared"
"CHASE SECURE BANKING","","07/20/2026","Lowe's","Short-Term Savings: Move in July","Short-Term Savings","Move in July","","$39.01","$0.00","Cleared"
"CHASE SECURE BANKING","","07/20/2026","Uber","Fun Spending: Fun Transport","Fun Spending","Fun Transport","","$9.92","$0.00","Cleared"
"CHASE SECURE BANKING","","07/20/2026","Cleo","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$0.00","$170.00","Cleared"
"American Express Gold Card","","07/19/2026","Payment from CHASE SECURE BANKING","","","","","$0.00","$35.00","Cleared"
"CHASE SECURE BANKING","","07/19/2026","Payment to American Express Gold Card","","","","","$35.00","$0.00","Uncleared"
"American Express Gold Card","","07/19/2026","Indian Tadka Lo via Otter","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$47.94","$0.00","Cleared"
"American Express Gold Card","","07/19/2026","U-Haul","Short-Term Savings: Move in July","Short-Term Savings","Move in July","","$203.95","$0.00","Cleared"
"American Express Gold Card","","07/19/2026","Points for Statement Credit","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$0.00","$30.15","Cleared"
"Freedom Unlimited","","07/19/2026","Interest Charge","Monthly Living / Lifestyle: Interest","Monthly Living / Lifestyle","Interest","","$83.37","$0.00","Cleared"
"Freedom Unlimited","","07/19/2026","Gangnam Market Em","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$11.54","$0.00","Cleared"
"American Express Gold Card","","07/18/2026","Apple","Fun Spending: Random Subscription","Fun Spending","Random Subscription","","$2.19","$0.00","Cleared"
"American Express Gold Card","","07/18/2026","Bbot","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$8.99","$0.00","Cleared"
"American Express Gold Card","","07/18/2026","Starting Balance",": Category Not Needed","","Category Not Needed","","$3,664.64","$0.00","Uncleared"
"Wells Fargo Everyday Checking","","07/18/2026","Starting Balance","Ready to Assign: Ready to Assign","Ready to Assign","Ready to Assign","","$0.00","$1,001.00","Uncleared"
"American Express Gold Card","","07/18/2026","Hertztoll Chicago Ohare","Wealth Building: Travel","Wealth Building","Travel","","$17.99","$0.00","Cleared"
"American Express Gold Card","","07/18/2026","The Den","Fun Spending: Random Fun Buys","Fun Spending","Random Fun Buys","","$35.85","$0.00","Cleared"
"Wells Fargo Everyday Checking","","07/18/2026","Wells Fargo Bonus",": Ready to Assign","","Ready to Assign","","$0.00","$400.00","Uncleared"
"WELLS FARGO AUTOGRAPH VISA® CARD","","07/18/2026","Gangnam Market Em","Monthly Living / Lifestyle: Groceries","Monthly Living / Lifestyle","Groceries","","$25.14","$0.00","Cleared"
"CHASE SECURE BANKING","","07/17/2026","Cleo","Irregular Expenses: Reimbursements","Irregular Expenses","Reimbursements","","$0.00","$170.00","Cleared"
"Freedom Unlimited","","07/17/2026","Urbanbelly via Otter","Fun Spending: Dining Out / Takeout","Fun Spending","Dining Out / Takeout","","$23.80","$0.00","Cleared"
"WELLS FARGO AUTOGRAPH VISA® CARD","","07/17/2026","The Dandy Crown Chicago Il","Fun Spending: Bars","Fun Spending","Bars","","$23.82","$0.00","Cleared"
